     n, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time
   242,      2661,         617,       1142,     3123,       1732,      1697
   243,      2578,         634,       1026,     3122,       1735,      1816
   244,      3080,         630,       1143,     3143,       1742,      1783
   245,      2726,         630,       1125,     3146,       1752,      1714
   246,      2661,         632,       1112,     3162,       1753,      1720
   247,      2737,         656,       1223,     3190,       1773,      1770
   248,      2870,         643,       1136,     3199,       1777,      1810
   249,      2926,         627,       1108,     3201,       1774,      1702
   250,      2777,         642,       1152,     3227,       1786,      1755
   251,      2848,         656,       1168,     3247,       1799,      1795
   252,      2781,         655,       1198,     3255,       1797,      1802
   253,      2738,         671,       1117,     3278,       1822,      1969
   254,      2881,         662,       1155,     3297,       1822,      1948
   255,      2783,         668,       1170,     3313,       1823,      1754
   256,      3230,         684,       1212,     3333,       1845,      1958
   257,      2718,         668,       1121,     3335,       1849,      1820
   258,      2819,         675,       1149,     3357,       1850,      1865
   259,      3069,         688,       1177,     3366,       1858,      1859
   260,      2755,         701,       1152,     3394,       1874,      1838
   261,      3017,         683,       1229,     3420,       1890,      1924
   262,      2899,         685,       1166,     3428,       1891,      1946
   263,      2909,         686,       1183,     3445,       1910,      1914
   264,      2918,         699,       1247,     3452,       1906,      1906
   265,      3113,         686,       1236,     3467,       1912,      1908
   266,      3096,         718,       1351,     3483,       1918,      1921
   267,      3223,         694,       1257,     3513,       1940,      1900
   268,      3010,         700,       1177,     3527,       1958,      1988
   269,      3089,         694,       1225,     3538,       1962,      2003
   270,      3107,         700,       1237,     3559,       1968,      2009
   271,      3109,         711,       1239,     3580,       1983,      2011
   272,      2999,         700,       1217,     3575,       1988,      1949
   273,      2975,         714,       1219,     3597,       1992,      1954
   274,      2894,         745,       1162,     3617,       1998,      2072
   275,      2999,         749,       1271,     3635,       2004,      2074
   276,      3281,         728,       1334,     3645,       2023,      2091
   277,      3164,         731,       1225,     3665,       2028,      2085
   278,      3118,         736,       1227,     3684,       2029,      1995
   279,      3407,         740,       1388,     3678,       2028,      1991
   280,      3207,         730,       1326,     3703,       2041,      2084
   281,      3192,         744,       1349,     3729,       2063,      2052
   282,      3125,         759,       1266,     3741,       2071,      2032
   283,      3319,         759,       1396,     3762,       2076,      2152
   284,      3247,         754,       1297,     3773,       2084,      2054
   285,      3329,         757,       1317,     3781,       2091,      2089
   286,      3493,         759,       1410,     3809,       2102,      2104
   287,      3384,         750,       1283,     3816,       2110,      2258
   288,      3191,         779,       1312,     3838,       2114,      2077
   289,      3371,         775,       1429,     3847,       2118,      2116
   290,      3483,         799,       1425,     3863,       2127,      2086
   291,      3235,         776,       1309,     3885,       2143,      2242
   292,      3293,         775,       1332,     3893,       2142,      2124
   293,      3319,         765,       1321,     3915,       2164,      2515
   294,      3601,         773,       1427,     3913,       2157,      2263
   295,      3297,         783,       1352,     3942,       2173,      2648
   296,      3418,         781,       1541,     3953,       2190,      2671
   297,      3426,         795,       1992,     3981,       2186,      3061
   298,      3242,         793,       1807,     3999,       2191,      2447
   299,      3374,         784,       1320,     4002,       2212,      2186
   300,      3470,         800,       1387,     4036,       2232,      2358
   301,      3322,         815,       1357,     4047,       2234,      2403
   302,      3808,         786,       1462,     4063,       2243,      2337
   303,      3443,         805,       1374,     4066,       2243,      2319
   304,      4014,         801,       1562,     4094,       2262,      2347
   305,      3693,         802,       1446,     4118,       2257,      2241
   306,      3700,         813,       1483,     4119,       2277,      2376
   307,      3717,         830,       1444,     4134,       2278,      2338
   308,      3972,         805,       1476,     4161,       2294,      2527
   309,      3457,         826,       1427,     4171,       2292,      2330
   310,      3710,         820,       1505,     4194,       2306,      2304
   311,      3566,         834,       1468,     4210,       2312,      2496
   312,      3952,         838,       1495,     4221,       2315,      2398
   313,      3752,         835,       1519,     4235,       2323,      2405
   314,      3910,         833,       1555,     4253,       2348,      2401
   315,      3574,         836,       1430,     4282,       2347,      2333
   316,      3982,         839,       1569,     4290,       2359,      2467
   317,      4075,         833,       1568,     4300,       2358,      2430
   318,      3828,         844,       1511,     4320,       2384,      2482
   319,      3808,         860,       1505,     4344,       2389,      2388
   320,      3783,         880,       1540,     4353,       2398,      2356
   321,      3698,         868,       1617,     4373,       2406,      2653
   322,      3971,         862,       1619,     4400,       2420,      2377
   323,      4237,         867,       1885,     4399,       2418,      2603
   324,      3703,         868,       1517,     4416,       2425,      2563
   325,      3664,         879,       1555,     4452,       2440,      2547
   326,      3917,         881,       1650,     4464,       2446,      2470
   327,      3756,         887,       1530,     4464,       2453,      2495
   328,      4569,         887,       1811,     4478,       2464,      2485
   329,      4281,         863,       1622,     4494,       2462,      2616
   330,      4258,         884,       1668,     4513,       2484,      2561
   331,      4356,         874,       1619,     4530,       2484,      2538
   332,      3769,         884,       1669,     4553,       2495,      2611
   333,      4220,         879,       1673,     4563,       2507,      2506
   334,      4065,         890,       1601,     4578,       2519,      2578
   335,      4193,         888,       2882,     4603,       2529,      2590
   336,      4118,         910,       1588,     4623,       2541,      2598
   337,      3972,         938,       1591,     4640,       2543,      2672
   338,      4025,         909,       1625,     4663,       2567,      2482
   339,      3958,         925,       1736,     4689,       2570,      2560
   340,      4287,         909,       1702,     4709,       2594,      2582
   341,      4025,         941,       1748,     4706,       2570,      2683
   342,      4155,         915,       1590,     4726,       2602,      2909
   343,      4056,         920,       1653,     4749,       2609,      2648
   344,      3973,         917,       1585,     4749,       2610,      2691
   345,      4270,         926,       1632,     4786,       2628,      2795
   346,      4329,         914,       1789,     4792,       2624,      2617
   347,      4237,         939,       1712,     4824,       2647,      2682
   348,      4039,         955,       1700,     4834,       2656,      2697
   349,      4310,         951,       1752,     4822,       2646,      2849
   350,      4431,         919,       1781,     4854,       2672,      2659
   351,      4250,         936,       1692,     4877,       2681,      2640
   352,      4607,         946,       1900,     4905,       2698,      2682
   353,      4167,         942,       1713,     4913,       2708,      2761
   354,      4184,         967,       1731,     4929,       2702,      2816
   355,      4284,         965,       1677,     4948,       2718,      2734
   356,      4237,         972,       1681,     4954,       2715,      2782
   357,      4450,         948,       1826,     4990,       2737,      2764
   358,      4251,         981,       1713,     5010,       2761,      2880
   359,      4122,         993,       1727,     5021,       2760,      2843
   360,      4296,         963,       1649,     5031,       2764,      2905
   361,      4414,         981,       1729,     5058,       2790,      2794
   362,      4586,         959,       1781,     5067,       2783,      2786
   363,      4541,         983,       2066,     5086,       2793,      2840
   364,      4329,         989,       1725,     5103,       2797,      2885
   365,      4529,         992,       1815,     5114,       2804,      2799
   366,      4326,        1013,       1776,     5128,       2815,      2944
   367,      4286,        1000,       1845,     5152,       2818,      2861
   368,      4278,        1002,       1808,     5172,       2833,      2829
   369,      4389,        1006,       1830,     5183,       2841,      3127
   370,      4634,        1020,       1839,     5205,       2855,      2921
   371,      4592,         998,       1893,     5202,       2844,      2839
   372,      4663,        1014,       1880,     5241,       2866,      2995
   373,      4932,        1026,       1919,     5243,       2872,      2945
   374,      4359,        1042,       1759,     5259,       2887,      3054
   375,      4307,        1039,       1862,     5278,       2898,      3038
   376,      4732,        1013,       1945,     5302,       2898,      2965
   377,      4459,        1032,       1810,     5322,       2921,      2958
   378,      5051,        1015,       2000,     5341,       2928,      2998
   379,      4659,        1052,       1925,     5343,       2922,      2919
   380,      4451,        1051,       1783,     5349,       2926,      3011
   381,      4527,        1045,       1838,     5376,       2947,      3004
   382,      4411,        1043,       1880,     5395,       2955,      2961
   383,      4908,        1044,       1898,     5402,       2964,      3014
   384,      4942,        1037,       2040,     5427,       2964,      3238
   385,      5529,        1015,       2223,     5461,       2987,      3032
   386,      4529,        1059,       1801,     5472,       3004,      3107
   387,      5040,        1049,       1984,     5498,       3017,      3406
   388,      4864,        1050,       2000,     5502,       3015,      3143
   389,      4648,        1076,       1860,     5524,       3019,      3074
   390,      5328,        1055,       2092,     5551,       3060,      3134
   391,      4734,        1072,       1923,     5556,       3051,      3064
   392,      4535,        1091,       1900,     5554,       3047,      3064
   393,      4676,        1087,       1895,     5587,       3072,      3250
   394,      4835,        1083,       2047,     5629,       3095,      3127
   395,      5240,        1074,       2045,     5625,       3088,      3391
   396,      4661,        1088,       1967,     5646,       3094,      3088
   397,      4964,        1086,       1996,     5669,       3106,      3253
   398,      5059,        1096,       1963,     5679,       3111,      3178
   399,      4680,        1106,       2026,     5678,       3114,      3519
   400,      4862,        1099,       1883,     5695,       3123,      3302
   401,      5167,        1080,       2326,     5725,       3124,      3647
   402,      5190,        1081,       2261,     5736,       3143,      3247
   403,      4914,        1106,       2023,     5777,       3180,      3767
   404,      5394,        1088,       2390,     5793,       3166,      3493
   405,      4935,        1131,       2155,     5796,       3176,      3380
   406,      5072,        1120,       2406,     5843,       3207,      3297
   407,      4936,        1136,       2043,     5831,       3194,      3261
   408,      5094,        1137,       2042,     5857,       3217,      3406
   409,      5397,        1116,       2152,     5895,       3235,      3333
   410,      5343,        1122,       2056,     5905,       3232,      3464
   411,      5003,        1134,       1980,     5928,       3249,      3311
   412,      5351,        1125,       2122,     5923,       3249,      3245
   413,      5259,        1114,       2210,     5949,       3258,      3492
   414,      5509,        1138,       2194,     5958,       3273,      3317
   415,      5019,        1151,       2118,     5978,       3276,      3318
   416,      5640,        1139,       2202,     5997,       3279,      3491
   417,      5523,        1163,       2400,     6012,       3290,      3643
   418,      5163,        1153,       2404,     6034,       3300,      3426
   419,      5027,        1156,       2190,     6042,       3298,      3378
   420,      5228,        1152,       2165,     6057,       3318,      3369
   421,      4907,        1156,       2039,     6098,       3346,      3587
   422,      5059,        1187,       2160,     6097,       3336,      3372
   423,      5369,        1177,       2148,     6135,       3365,      3444
   424,      5200,        1149,       2102,     6152,       3368,      3394
   425,      5306,        1190,       2194,     6170,       3382,      3412
   426,      5106,        1195,       2096,     6176,       3377,      3483
   427,      5047,        1195,       2042,     6195,       3398,      3603
