    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time
  347,           493,             149,            192,      3349,         507,       1231,     5047,       2841,      2898
  348,           494,             149,            191,      3357,         524,       1237,     5060,       2851,      2833
  349,           495,             149,            191,      3389,         522,       1325,     5085,       2861,      2901
  350,           496,             149,            192,      3405,         526,       1340,     5098,       2873,      2772
  351,           497,             149,            229,      3295,         514,       1354,     5112,       2881,      2870
  352,           500,             151,            233,      3483,         524,       1267,     5131,       2897,      2913
  353,           501,             151,            194,      3512,         510,       1277,     5147,       2903,      3004
  354,           502,             151,            195,      3339,         542,       1317,     5159,       2911,      2934
  355,           504,             152,            198,      3182,         531,       1214,     5183,       2922,      2955
  356,           506,             153,            197,      3349,         537,       1331,     5199,       2929,      2824
  357,           507,             153,            196,      3317,         525,       1297,     5220,       2937,      3009
  358,           508,             153,            198,      3852,         534,       1462,     5234,       2949,      2908
  359,           510,             154,            234,      3523,         540,       1304,     5250,       2954,      3070
  360,           513,             156,            208,      3726,         539,       1468,     5266,       2968,      2998
  361,           514,             156,            207,      3213,         537,       1318,     5285,       2974,      3160
  362,           515,             156,            208,      3662,         529,       1453,     5303,       2982,      3316
  363,           516,             156,            207,      3841,         541,       1426,     5324,       2994,      3036
  364,           517,             156,            206,      3575,         529,       1416,     5341,       3002,      2982
