   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, heap_cmp, heap_swaps, heap_time
 762,              ,                ,               ,     10737,        2253,       4544,              ,                ,               ,    12308,       6654,      7789
 763,              ,                ,               ,     11239,        2244,       5021,              ,                ,               ,    12304,       6661,      7486
 764,              ,                ,               ,     11930,        2217,       5154,              ,                ,               ,    12338,       6671,      7828
 765,              ,                ,               ,     11340,        2229,       5055,              ,                ,               ,    12348,       6663,      7809
 766,              ,                ,               ,     10555,        2230,       4718,              ,                ,               ,    12366,       6691,      7417
 767,              ,                ,               ,     11003,        2253,       4354,              ,                ,               ,    12372,       6702,      8162
 768,              ,                ,               ,     10428,        2310,       4926,              ,                ,               ,    12398,       6707,      7361
 769,              ,                ,               ,     10841,        2263,       5125,              ,                ,               ,    12424,       6717,      7598
 770,              ,                ,               ,     11414,        2301,       5192,              ,                ,               ,    12426,       6725,      9428
 771,              ,                ,               ,     10771,        2285,       4748,              ,                ,               ,    12472,       6751,      9316
 772,              ,                ,               ,     10516,        2324,       5046,              ,                ,               ,    12459,       6731,      7987
 773,              ,                ,               ,     10544,        2312,       4448,              ,                ,               ,    12501,       6768,      7259
 774,              ,                ,               ,     10777,        2267,       4765,              ,                ,               ,    12528,       6778,      7645
 775,              ,                ,               ,     10624,        2330,       5157,              ,                ,               ,    12529,       6779,      7715
 776,              ,                ,               ,     10624,        2296,       5715,              ,                ,               ,    12551,       6785,      7856
 777,              ,                ,               ,     10544,        2276,       6369,              ,                ,               ,    12560,       6801,     10152
 778,              ,                ,               ,     11690,        2274,       5690,              ,                ,               ,    12581,       6795,      9104
 779,              ,                ,               ,     11450,        2317,       5391,              ,                ,               ,    12604,       6820,      8793
 780,              ,                ,               ,     10607,        2302,       4739,              ,                ,               ,    12601,       6816,      7487
 781,              ,                ,               ,     11326,        2330,       4706,              ,                ,               ,    12638,       6841,      8124
 782,              ,                ,               ,     10277,        2350,       4130,              ,                ,               ,    12655,       6841,      8323
 783,              ,                ,               ,     11449,        2288,       4975,              ,                ,               ,    12663,       6847,      7335
 784,              ,                ,               ,     11221,        2318,       4794,              ,                ,               ,    12678,       6837,      7659
 785,              ,                ,               ,     11040,        2319,       4811,              ,                ,               ,    12710,       6861,      7814
 786,              ,                ,               ,     11743,        2304,       5313,              ,                ,               ,    12739,       6885,      7847
 787,              ,                ,               ,     10865,        2344,       5056,              ,                ,               ,    12783,       6911,      7790
 788,              ,                ,               ,     11298,        2345,       4744,              ,                ,               ,    12771,       6916,      8001
 789,              ,                ,               ,     10542,        2353,       5825,              ,                ,               ,    12799,       6927,      9243
 790,              ,                ,               ,     11521,        2347,       5848,              ,                ,               ,    12824,       6934,     10558
 791,              ,                ,               ,     11465,        2296,       9041,              ,                ,               ,    12841,       6961,     10413
 792,              ,                ,               ,     12020,        2314,       5792,              ,                ,               ,    12868,       6945,      9030
 793,              ,                ,               ,     11860,        2345,       5468,              ,                ,               ,    12872,       6966,      9824
 794,              ,                ,               ,     10829,        2383,       6720,              ,                ,               ,    12898,       6972,      9984
 795,              ,                ,               ,     11867,        2313,       6490,              ,                ,               ,    12934,       6987,      8609
 796,              ,                ,               ,     11097,        2361,       6785,              ,                ,               ,    12941,       6997,      9324
 797,              ,                ,               ,     11491,        2402,       6235,              ,                ,               ,    12946,       6999,      9810
 798,              ,                ,               ,     11529,        2395,       5577,              ,                ,               ,    12972,       7019,      9807
 799,              ,                ,               ,     11546,        2352,       5434,              ,                ,               ,    12989,       7026,      9584
 800,              ,                ,               ,     11315,        2364,       5464,              ,                ,               ,    13003,       7013,      8373
 801,              ,                ,               ,     11241,        2369,       4728,              ,                ,               ,    12995,       7019,      8078
 802,              ,                ,               ,     12322,        2313,       5414,              ,                ,               ,    13067,       7059,      7847
 803,              ,                ,               ,     12247,        2362,       5202,              ,                ,               ,    13061,       7059,      8057
 804,              ,                ,               ,     10558,        2423,       4365,              ,                ,               ,    13083,       7071,      8431
 805,              ,                ,               ,     10799,        2437,       4649,              ,                ,               ,    13124,       7109,      8631
 806,              ,                ,               ,     11562,        2394,       5905,              ,                ,               ,    13094,       7065,      8670
 807,              ,                ,               ,     11755,        2391,       5171,              ,                ,               ,    13137,       7096,      9082
 808,              ,                ,               ,     11584,        2414,       5593,              ,                ,               ,    13158,       7114,      8135
 809,              ,                ,               ,     12360,        2334,       4863,              ,                ,               ,    13196,       7144,      8789
 810,              ,                ,               ,     11952,        2342,       5047,              ,                ,               ,    13200,       7129,      9738
 811,              ,                ,               ,     11840,        2411,       5423,              ,                ,               ,    13226,       7156,      8611
 812,              ,                ,               ,     11689,        2376,       4908,              ,                ,               ,    13254,       7154,      9064
 813,              ,                ,               ,     10598,        2423,       4977,              ,                ,               ,    13234,       7154,      9786
 814,              ,                ,               ,     11916,        2384,       5566,              ,                ,               ,    13275,       7184,      8070
 815,              ,                ,               ,     11658,        2415,       4880,              ,                ,               ,    13312,       7186,      8070
 816,              ,                ,               ,     11451,        2408,       5538,              ,                ,               ,    13329,       7208,      9731
 817,              ,                ,               ,     11680,        2426,       5925,              ,                ,               ,    13361,       7229,     10156
 818,              ,                ,               ,     12410,        2398,       5694,              ,                ,               ,    13369,       7220,      8259
 819,              ,                ,               ,     11304,        2432,       4694,              ,                ,               ,    13402,       7243,      8896
 820,              ,                ,               ,     11644,        2458,       5653,              ,                ,               ,    13419,       7246,      8906
 821,              ,                ,               ,     11332,        2462,       4684,              ,                ,               ,    13445,       7278,      8514
 822,              ,                ,               ,     11167,        2462,       5479,              ,                ,               ,    13432,       7242,      8238
 823,              ,                ,               ,     12161,        2429,       5797,              ,                ,               ,    13460,       7264,      8597
 824,              ,                ,               ,     11798,        2452,       5801,              ,                ,               ,    13464,       7281,      8405
 825,              ,                ,               ,     11498,        2457,       5001,              ,                ,               ,    13485,       7286,      9987
 826,              ,                ,               ,     11538,        2438,       5648,              ,                ,               ,    13510,       7303,      9037
 827,              ,                ,               ,     11581,        2459,       6152,              ,                ,               ,    13537,       7314,      8663
 828,              ,                ,               ,     12631,        2426,       5707,              ,                ,               ,    13565,       7324,      9059
 829,              ,                ,               ,     11689,        2497,       5043,              ,                ,               ,    13594,       7361,     10443
 830,              ,                ,               ,     11551,        2480,       5340,              ,                ,               ,    13604,       7357,      8145
 831,              ,                ,               ,     12248,        2431,       4887,              ,                ,               ,    13622,       7346,      8392
 832,              ,                ,               ,     11703,        2501,       5374,              ,                ,               ,    13644,       7380,      8669
 833,              ,                ,               ,     11732,        2486,       5224,              ,                ,               ,    13638,       7370,     10505
 834,              ,                ,               ,     12856,        2445,       5797,              ,                ,               ,    13683,       7409,      9287
 835,              ,                ,               ,     12035,        2497,       5872,              ,                ,               ,    13691,       7382,      8451
 836,              ,                ,               ,     11994,        2470,       6669,              ,                ,               ,    13708,       7408,      9190
 837,              ,                ,               ,     12363,        2472,       5019,              ,                ,               ,    13725,       7415,      9034
 838,              ,                ,               ,     12402,        2519,       5455,              ,                ,               ,    13719,       7411,      8273
