    n, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time
  304,      3453,         825,       1479,     4078,       2249,      2377
  305,      3411,         838,       1375,     4097,       2253,      2358
  306,      3587,         809,       1396,     4120,       2262,      2352
  307,      3582,         822,       1788,     4117,       2279,      2420
  308,      3704,         812,       1455,     4152,       2294,      2385
  309,      3802,         817,       1606,     4170,       2307,      4131
  310,      3569,         839,       1660,     4192,       2303,      2531
  311,      3622,         832,       1516,     4207,       2317,      2369
  312,      3529,         823,       1579,     4223,       2329,      2317
  313,      3736,         822,       1572,     4213,       2318,      2376
  314,      3584,         857,       1490,     4234,       2327,      2350
  315,      3388,         881,       1592,     4265,       2355,      2346
  316,      3749,         846,       1517,     4279,       2347,      2412
  317,      3753,         857,       1554,     4303,       2369,      2385
  318,      3593,         860,       1463,     4325,       2378,      2574
  319,      3577,         870,       1456,     4325,       2371,      2513
  320,      3734,         879,       1465,     4348,       2382,      2524
  321,      3643,         878,       1452,     4350,       2386,      2385
  322,      3831,         860,       1551,     4377,       2410,      2642
  323,      3808,         885,       1606,     4386,       2409,      2468
  324,      3924,         870,       1574,     4405,       2425,      2454
  325,      3889,         865,       1541,     4435,       2437,      2696
  326,      4035,         866,       1565,     4453,       2438,      2505
  327,      4023,         889,       1594,     4465,       2455,      2590
  328,      4227,         890,       1687,     4469,       2455,      2405
  329,      3771,         884,       1597,     4488,       2461,      2486
  330,      4351,         863,       1956,     4505,       2465,      2588
  331,      4213,         893,       1703,     4526,       2479,      2600
  332,      3933,         900,       1567,     4539,       2483,      2611
  333,      3957,         906,       1546,     4570,       2502,      2824
  334,      4608,         882,       1701,     4588,       2513,      2611
  335,      4197,         892,       1746,     4605,       2528,      2679
  336,      4053,         908,       1657,     4603,       2529,      2612
  337,      3967,         913,       1666,     4613,       2527,      2585
  338,      4210,         924,       1716,     4625,       2530,      2567
  339,      4312,         922,       1803,     4650,       2544,      2595
  340,      4150,         927,       1677,     4668,       2567,      2594
  341,      3976,         935,       1613,     4686,       2571,      2632
  342,      4067,         929,       1647,     4696,       2585,      2628
  343,      4186,         947,       1691,     4718,       2590,      2642
  344,      4362,         925,       1731,     4737,       2597,      2633
  345,      4014,         946,       1854,     4751,       2603,      2771
  346,      3898,         958,       1879,     4775,       2612,      2677
  347,      4245,         932,       1635,     4784,       2628,      2925
  348,      4316,         929,       1681,     4799,       2621,      2713
  349,      4143,         936,       1715,     4828,       2647,      2636
  350,      4186,         979,       1752,     4815,       2633,      2695
  351,      4844,         916,       1826,     4848,       2652,      2745
  352,      4125,         947,       1783,     4855,       2653,      2725
  353,      4369,         961,       1770,     4861,       2664,      2739
  354,      4404,         966,       1811,     4897,       2684,      2745
  355,      4393,         961,       1834,     4926,       2712,      2761
  356,      4356,         949,       1782,     4930,       2703,      2765
  357,      4389,         986,       1814,     4944,       2716,      2777
  358,      4228,        1003,       1736,     4972,       2726,      2842
  359,      4223,         996,       1711,     4987,       2735,      2788
  360,      4632,         990,       1908,     5010,       2744,      2831
  361,      4427,        1000,       1754,     5027,       2762,      2856
  362,      4465,         976,       1745,     5027,       2752,      2801
  363,      4716,         999,       1852,     5042,       2754,      2894
  364,      4518,         992,       1785,     5065,       2777,      2915
  365,      4135,        1021,       1710,     5077,       2785,      2886
  366,      4525,        1037,       1781,     5111,       2810,      2931
  367,      4192,        1013,       1715,     5131,       2815,      2954
  368,      4638,         997,       1966,     5146,       2827,      2960
  369,      4315,        1036,       1773,     5150,       2823,      2927
  370,      4834,        1002,       1830,     5157,       2828,      2941
  371,      4572,        1014,       1789,     5192,       2846,      2908
  372,      4560,        1028,       1898,     5212,       2867,      2904
  373,      4611,        1010,       1886,     5206,       2855,      2951
  374,      4368,        1035,       1767,     5228,       2872,      2961
  375,      4613,        1035,       1855,     5251,       2890,      2988
  376,      4707,        1038,       1861,     5262,       2885,      2944
  377,      4412,        1037,       1810,     5287,       2913,      2986
  378,      4703,        1045,       1877,     5303,       2903,      3047
  379,      5447,        1018,       2020,     5310,       2914,      3064
  380,      4567,        1072,       1950,     5322,       2905,      3029
  381,      4564,        1057,       1953,     5345,       2933,      3088
  382,      5218,        1044,       1959,     5344,       2916,      3127
  383,      5061,        1019,       1972,     5387,       2958,      3033
  384,      4620,        1047,       1835,     5381,       2948,      3119
